,Estimate,Std. Error,t value,Pr(>|t|),V5,quarter,sp
1,1.294141311,0.093174266,13.88947152,0.00080792,5,Q1,1
2,-0.519847982,0.255128923,-2.037589369,0.07204533,11,Q1,1
3,0.434393107,0.113022183,3.843432268,0.00273029,13,Q3,1
4,-0.649342644,0.696233617,-0.932650518,0.522176109,3,Q3,1
5,0.690919446,0.513999119,1.344203561,0.311061802,4,Q1,2
6,-1.207578786,0.159229747,-7.583876795,1.87E-05,12,Q1,2
7,0.666738909,0.234359566,2.844940019,0.021646848,10,Q3,2
8,-0.29095274,0.201463975,-1.444192391,0.222183214,6,Q3,2
9,1.305744198,0.276127847,4.728766802,0.002135617,9,Q1,3
10,-1.642766431,0.560406852,-2.931381774,0.032580493,7,Q1,3
11,0.351764283,0.205491223,1.711821453,0.121087157,11,Q3,3
12,-2.770140463,1.056887516,-2.621036224,0.078931026,5,Q3,3
13,1.811347308,0.476666809,3.800028185,0.005236452,10,Q1,4
14,-3.282759419,0.760887373,-4.314382832,0.012502696,6,Q1,4
15,0.47649247,0.444536869,1.071885152,0.315039256,10,Q3,4
16,-3.105774546,0.350303846,-8.865944745,0.000893896,6,Q3,4
17,0.809779358,0.098786478,8.197269271,7.80E-05,9,Q1,5
18,-1.492130003,0.270412343,-5.51798037,0.002676453,7,Q1,5
19,1.121441323,0.184212796,6.087749311,0.001729832,7,Q3,5
20,-1.341789543,0.208272889,-6.442458968,0.000352776,9,Q3,5
21,NA,NA,NA,NA,all,Q1,6
22,NA,NA,NA,NA,0,Q1,6
23,1.441153251,0.353118573,4.081216234,0.0046825,9,Q3,6
24,-2.242575345,0.258224581,-8.684592821,0.00033478,7,Q3,6
25,0.883778299,0.182744246,4.836148433,0.001294458,10,Q1,7
26,-1.844745123,0.257329296,-7.168811135,0.002004587,6,Q1,7
27,0.430880743,0.100803692,4.274453983,0.001625541,12,Q3,7
28,-1.090659603,0.580996492,-1.877222354,0.201287821,4,Q3,7
29,0.486404156,0.157473551,3.088799057,0.01146741,12,Q1,8
30,-2.040085636,0.194368702,-10.49595752,0.008955528,4,Q1,8
31,NA,NA,NA,NA,all,Q3,8
32,NA,NA,NA,NA,0,Q3,8
