"","Estimate","Std. Error","t value","Pr(>|t|)","V5","V6","sp"
"sm_line_Rst_1",1.2941413114698,0.0931742658165563,13.8894715201484,0.000807919527138385,0.984687425887686,5,1
"lar_line_Rst_1",-0.519847981842078,0.25512892330376,-2.03758936897617,0.072045330146819,0.315681486123107,11,1
"sm_line_Rst_3",0.307873296768045,0.0991250052192994,3.10590951381965,0.00835122839534477,0.425964269508583,15,1
"X",0,0,0,0,0,1,1
"sm_line_Rst_1.1",0.69091944621675,0.513999118957565,1.34420356131737,0.31106180208558,0.474635840545568,4,2
"lar_line_Rst_1.1",-1.20757878550104,0.15922974728575,-7.5838767949179,1.87408762620255e-05,0.851885177117568,12,2
"sm_line_Rst_3.1",0.666738908653791,0.234359566210432,2.84494001859999,0.0216468480559826,0.50291057383515,10,2
"lar_line_Rst_3",-1.20757878550104,0.15922974728575,-7.5838767949179,1.87408762620255e-05,0.342720561203909,6,2
"sm_line_Rst_1.2",1.30574419807571,0.276127847414479,4.72876680241432,0.00213561699829796,0.761590413769643,9,3
"lar_line_Rst_1.2",-1.64276643100242,0.560406851592179,-2.93138177439327,0.0325804933282401,0.632163589466065,7,3
"sm_line_Rst_3.2",0.351764283446494,0.205491222682176,1.71182145327225,0.121087156753503,0.24562036655183,11,3
"lar_line_Rst_3.1",-1.64276643100242,0.560406851592179,-2.93138177439327,0.0325804933282401,0.696043424182781,5,3
"sm_line_Rst_1.3",1.81134730770123,0.476666808654682,3.80002818491489,0.00523645223303853,0.6434971642201,10,4
"lar_line_Rst_1.3",-3.282759419383,0.760887373042632,-4.31438283205557,0.0125026960222251,0.823117633946529,6,4
"sm_line_Rst_3.3",0.476492469545878,0.444536869123711,1.0718851520351,0.315039256019065,0.125581549124891,10,4
"lar_line_Rst_3.2",-3.282759419383,0.760887373042632,-4.31438283205557,0.0125026960222251,0.951576767123174,6,4
"sm_line_Rst_1.4",1.00796305680311,0.846861889204895,1.1902331060729,0.319557264468707,0.320752899181364,5,5
"lar_line_Rst_1.4",-1.28309195183386,0.134462900169239,-9.54234922955636,5.27718757970214e-06,0.910050757295191,11,5
"X.1",0,0,0,0,0,0,5
"lar_line_Rst_3.3",-1.28309195183386,0.134462900169239,-9.54234922955636,5.27718757970214e-06,0.727199950730194,16,5
"sm_line_Rst_1.5",0.833081957907489,0.0799445365484781,10.4207491077556,6.23483319588926e-06,0.931384664651994,10,6
"lar_line_Rst_1.5",-1.52006555934319,0.381739973432749,-3.98193971062079,0.0163745973865466,0.798547972657271,6,6
"sm_line_Rst_3.4",1.12144132304605,0.184212796169196,6.08774931148664,0.0017298320917201,0.881124161292948,7,6
"lar_line_Rst_3.4",-1.52006555934319,0.381739973432749,-3.98193971062079,0.0163745973865466,0.855685806720108,9,6
"X.2",0,0,0,0,0,1,7
"lar_line_Rst_1.6",-0.143694349201603,0.0599351739792889,-2.39749615561737,0.0322357262681631,0.306592252595411,15,7
"sm_line_Rst_3.5",1.44115325073749,0.353118572538372,4.0812162339065,0.00468249953723768,0.704096062278816,9,7
"lar_line_Rst_3.5",-0.143694349201603,0.0599351739792889,-2.39749615561737,0.0322357262681631,0.937828075395241,7,7
"sm_line_Rst_1.6",0.883778298603802,0.182744245932651,4.83614843298273,0.00129445840169593,0.745128218818138,10,8
"lar_line_Rst_1.7",-1.8447451234869,0.257329296137753,-7.16881113489455,0.00200458745472361,0.927787214598858,6,8
"sm_line_Rst_3.6",0.316549707256064,0.0859831596100255,3.68153146141369,0.00276576404228517,0.510425561137701,15,8
"X.3",0,0,0,0,0,1,8
"sm_line_Rst_1.7",0.468230033539768,0.188839042688713,2.47951920785582,0.0350190540976531,0.405862768047939,11,9
"lar_line_Rst_1.8",-1.43074458283566,0.36926761356126,-3.87454661684893,0.0304343917813348,0.833445401317376,5,9
"sm_line_Rst_3.7",0.240475067580116,0.0970488217064782,2.47787725138412,0.02657767792906,0.304861647243456,16,9
"X.4",0,0,0,0,0,0,9
