"","x"
"1",0.984687425887686
"2",0.315681486123107
"3",0.573179725234073
"4",0.465194021647835
"5",0.474635840545568
"6",0.851885177117568
"7",0.50291057383515
"8",0.342720561203909
"9",0.761590413769643
"10",0.632163589466065
"11",0.24562036655183
"12",0.696043424182781
"13",0.6434971642201
"14",0.823117633946529
"15",0.125581549124891
"16",0.951576767123174
"17",0.905654304007683
"18",0.858948745893339
"19",0.881124161292948
"20",0.855685806720108
"21",NA
"22",NA
"23",0.704096062278816
"24",0.937828075395241
"25",0.745128218818138
"26",0.927787214598858
"27",0.646280101143986
"28",0.637941144430442
"29",0.488247072426699
"30",0.982169145601185
"31",NA
"32",NA
