"","V1","V2","quarter"
"1",2.44960069277311,-0.385306613226453,"Q1"
"2",2.23008438961497,0.344312625250501,"Q3"
"3",2.2856074333949,-0.401739478957916,"Q1"
"4",2.25003200668421,-0.109234468937876,"Q3"
"5",2.49910552816155,0.091246492985972,"Q1"
"6",2.07811682797363,0.193130260521042,"Q3"
"7",3.11190322134086,0.288440881763527,"Q1"
"8",2.63003535684569,0.298300601202405,"Q3"
"9",2.35122041862495,-0.0993747494989979,"Q1"
"10",2.00605771813565,-0.431318637274549,"Q3"
"11",2.32789798675028,0.0583807615230462,"Q1"
"12",2.30601204323721,-0.0862284569138276,"Q3"
"13",2.03319698748177,-0.362300601202405,"Q1"
"14",2.60334427418565,0.331166332665331,"Q3"
"15",2.52577362956829,0.00908216432865738,"Q1"
"16",2.16736979612325,0.429763527054108,"Q3"
"17",2.16622104924712,-0.122380761523046,"Q1"
"18",2.08391406422409,0.179983967935872,"Q3"
